---Model---
date, tmin, tmax
2007-07-27,297.8110888662578,310.35010240521535
2007-07-28,296.49561738740124,307.83984041266064
2007-08-02,293.47780111535263,306.9307973787923
2007-08-03,294.46335879894343,306.5449796063187
2008-07-08,294.61111191202406,307.52036489147196
2008-07-09,296.6556799525901,306.9495076443993
2008-07-13,295.2259339932266,307.54070908773997
2008-07-17,293.7970758335879,307.2469430164066
2008-07-18,295.27112845757654,307.5860038471297
2008-07-19,295.13430088748123,307.181400206842
2008-07-30,295.4725365478324,306.65152758930935
2008-07-31,296.4389968679106,306.355851895035
2008-08-01,296.1697892714035,306.69117569338925
2008-08-02,296.039681553015,306.8230820945205
2008-08-03,295.56819939287345,306.6225304930151
2008-08-04,295.12368244731204,307.05350264589464
2008-08-05,295.2806217211104,308.0690782503702
2008-08-06,295.10339442505494,307.3389596501447
2009-06-28,295.1983612475944,307.6256262295537
2009-06-29,295.51065171226185,306.95773651517436
2009-08-15,293.91304877659854,307.47227363867717
2009-08-16,294.7377205448952,308.3843474287432
2009-08-17,295.77749344898655,308.63641827361545
2009-08-18,296.8638711613065,307.43136709885033
2010-05-26,293.8001551393811,307.9232531312968
2010-07-04,294.2784245290861,308.6112897341407
2010-07-05,296.32637007127676,311.27052423021155
2010-07-06,297.1186177502727,312.72562585089605
2010-07-07,296.47453881270474,312.9825223098327
2010-07-08,296.78463164595536,311.8499130900132
2010-07-09,297.2308368845683,309.0733314818216
2010-08-03,295.91085285677406,306.6380381157743
2010-08-04,297.5155089333799,307.57089745751205
2010-08-31,294.370671785299,307.3070017543007
2010-09-01,296.4506527233325,307.60671821455605
2010-09-02,296.7163173088089,307.1770570763524
2010-09-03,295.8230402951739,306.28634010970006
2011-06-09,294.2375407310489,306.74734144780825
2011-07-02,295.18217127634216,308.2287644847787
2011-07-03,298.54666618111196,310.3969007032556
2011-07-04,298.3107592085514,309.5597133699308
2011-07-05,296.2956370476061,307.69893873910195
2011-07-06,295.247112546936,306.9308986448925
2011-07-07,295.5985906574206,307.25404866639633
2011-07-08,295.4084042913229,306.9096111437699
2011-07-10,294.31380912728355,306.4022819993685
2011-07-11,296.28307820665475,308.16556354640977
2011-07-12,296.98812943591247,307.3886166608743
2011-07-17,294.36682826533354,307.16280276440835
2011-07-18,295.1099782506561,307.37263847794856
2011-07-19,294.33618483324585,306.5941157942573
2011-07-21,295.3838453287377,307.0748001054118
2011-07-22,298.24188395154204,309.09307306088454
2011-07-23,297.57864173795747,307.84053943621325
2012-06-20,294.6842014854086,307.3810422645772
2012-06-21,296.5141521240645,308.60180670677437
2012-07-04,293.6417198105451,307.1027536555731
2012-07-05,294.1448654978838,306.96770559955735
2012-07-06,294.5716029445815,307.57731059339255
2012-07-07,295.3854559090152,308.01991245736633
2012-07-13,294.19589760018437,307.0713474882647
2012-07-14,295.5340241669395,308.6426134920629
2012-07-15,296.5064284710503,308.95293848824315
2012-07-16,296.8192697496597,308.56736045307457
2012-07-17,297.2188523272084,308.7388473191668
2012-07-18,295.8766571806105,307.7588853663466
2012-07-23,295.34011642615803,306.31374366947483
2012-07-30,293.4987788651266,306.64831269471927
2012-07-31,293.69632111376063,307.04743815593076
2012-08-01,294.03184730586884,306.6523725613831
2012-08-04,295.42085369360495,306.52227842780394
2012-08-05,294.6229526070858,307.7030171225085
2012-08-06,294.6545694963197,308.3258390652152
2013-07-06,295.21794026359555,306.47155356637575
2013-07-15,295.1880342025553,306.3000230000614
2013-07-16,296.21265310627183,306.86560845931706
2013-07-17,296.0559382029258,307.3794899332554
2013-08-20,294.81168869989335,306.7537162165138
2013-08-21,295.08080011204424,306.2772885437039
2014-07-01,295.90165014458194,307.28521222434665
2014-07-02,295.8948313044601,307.32461743718824
2014-07-13,293.6670189446601,306.7058700145696
2015-07-07,294.5083145121854,307.7016068057817
2015-07-08,295.83201731275017,306.7328054843116
2015-07-11,294.8521392854094,306.79206314730624
2015-07-12,295.3337820361351,307.6195953525336
2015-07-13,296.17097680271536,307.57831057958964
2015-07-14,295.17908572266964,306.9896455093384
2015-08-16,295.60406906175444,307.630637062152
2015-08-17,296.5575519335039,309.11971355412595
2015-08-18,297.25757319884906,309.6024041990814
2015-08-19,296.85721455784966,308.5667843317423
2015-08-20,296.497303373695,306.74582016174327
2016-07-13,294.6129437059418,308.99831490630464
