date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2008-07-31;S; 19.4,17.73029948878161,1.6697005112183874;C; 21.46064810247509,22.283679467500406,-0.8230313650253152;T; 23.67234061824621,22.479003516592286,1.193337101653924;
2008-08-01;S; 17.65,15.858870917353045,1.791129082646954;C; 22.099388836234027,22.334836358892574,-0.2354475226585464;T; 22.95718600517506,22.436348006081914,0.5208379990931462;
2008-08-02;S; 18.3,15.716013774495877,2.5839862255041233;C; 19.643734617351072,19.934568976678577,-0.2908343593275049;T; 22.773862774753127,20.161749270117753,2.6121135046353743;
2008-08-03;S; 17.75,16.058870917353033,1.6911290826469667;C; 18.85839071255708,19.632853002945694,-0.7744622903886125;T; 23.224780479203957,19.84295484925906,3.381825629944899;
2008-08-04;S; 16.549999999999997,15.78744234592449,0.7625576540755077;C; 19.673694430027183,19.92746100862621,-0.25376657859902707;T; 22.039052939203373,19.93028394809494,2.108768991108434;
2008-08-05;S; 16.45,15.187442345924467,1.2625576540755326;C; 18.31493638610101,17.994407036997245,0.32052934910376507;T; 21.151261809595383,17.993624147094067,3.1576376625013154;
2008-08-06;S; 16.5,15.501728060210155,0.998271939789845;C; 19.42742360688129,18.439972889725993,0.9874507171552978;T; 23.07571442100567,18.884608007937743,4.191106413067928;
2009-06-28;S; 16.2,14.216013774495877,1.9839862255041218;C; 19.563727320947805,19.709680168283683,-0.14595284733587732;T; 20.919557187897055,19.763762217487397,1.1557949704096586;
2009-06-29;S; 17.7,17.030299488781623,0.6697005112183767;C; 18.677313285167145,17.616101939227008,1.061211345940137;T; 22.26933784127999,17.84232389861586,4.427013942664132;
2009-08-15;S; 21.0,15.758870917353022,5.241129082646978;C; 15.875218523423598,15.635282742137292,0.23993578128630588;T; 19.904243356629706,15.711354986081517,4.192888370548189;
2009-08-16;S; 21.6,17.758870917353022,3.8411290826469795;C; 17.703547765266308,16.766277567784243,0.9372701974820643;T; 21.049752334949005,17.03134571359925,4.0184066213497545;
2009-08-17;S; 22.0,18.0445852030673,3.9554147969327005;C; 19.394718649749507,17.722241105042087,1.6724775447074194;T; 21.49518418187796,18.039596414634616,3.455587767243344;
2009-08-18;S; 22.3,20.90172806021019,1.3982719397898116;C; 20.36389827739248,17.29251850316774,3.071379774224738;T; 22.436661372864705,17.79034631530004,4.646315057564664;
2010-05-26;S; 19.4,20.7017280602102,-1.301728060210202;C; 17.703092261974746,17.523040918134313,0.1800513438404323;T; 19.88059240107532,17.779141832788753,2.101450568286566;
2010-07-04;S; 19.7,19.3160137744959,0.3839862255040991;C; 17.42200935628381,16.400241819231212,1.0217675370525967;T; 18.94806042102067,16.59633781287863,2.3517226081420404;
2010-07-05;S; 20.9,19.258870917353022,1.6411290826469767;C; 19.482179341486244,18.045483970562884,1.4366953709233599;T; 21.276514758263374,18.31443808163749,2.962076676625884;
2010-07-06;S; 25.0,23.758870917353022,1.241129082646978;C; 23.23410570147479,21.629979818560912,1.604125882913877;T; 24.78090396890508,21.98743499717949,2.793468971725588;
2010-07-07;S; 24.25,23.273156631638756,0.9768433683612443;C; 19.19093769279465,18.986685213534713,0.20425247925993517;T; 23.35494458408965,19.565685836876355,3.789258747213296;
2010-07-08;S; 24.7,22.3160137744959,2.383986225504099;C; 20.09749389531231,18.827773952347968,1.2697199429643433;T; 23.15932332741653,19.47494924033242,3.684374087084109;
2010-07-09;S; 21.45,21.473156631638744,-0.02315663163874504;C; 19.577872294372185,19.19521232876542,0.38265996560676285;T; 23.18208992255387,20.01628145255785,3.1658084699960227;
2010-08-04;S; 20.950000000000003,20.0660137744959,0.8839862255041027;C; 21.16112452843214,20.455793512486593,0.7053310159455464;T; 22.701568982547485,20.615461070400954,2.086107912146531;
2010-09-01;S; 23.2,20.744585203067288,2.455414796932711;C; 21.121319382826584,20.905336595671315,0.2159827871552693;T; 22.69562639249375,21.097787679976932,1.5978387125168183;
2010-09-02;S; 23.0,21.13029948878159,1.8697005112184115;C; 21.468523103950645,20.014320846768953,1.4542022571816915;T; 22.982663049175073,20.293203535164025,2.689459514011048;
2010-09-03;S; 20.85,18.558870917353033,2.291129082646968;C; 23.47233822467797,22.29958745749036,1.1727507671876083;T; 24.734616415367555,22.467658816734513,2.2669575986330415;
2011-07-03;S; 20.4,19.716013774495877,0.6839862255041211;C; 21.6610017486733,22.038747686969657,-0.37774593829635705;T; 23.972685997858946,22.21828101603421,1.7544049818247345;
2011-07-04;S; 19.75,17.773156631638756,1.9768433683612443;C; 25.252701591193727,25.57772139430375,-0.325019803110024;T; 26.857177753171413,25.788345802940114,1.0688319502312993;
2011-07-05;S; 18.65,16.030299488781623,2.619700511218376;C; 22.394729483972412,22.669246766672075,-0.27451728269966225;T; 24.911535085541857,23.04588338513645,1.865651700405408;
2011-07-11;S; 20.85,19.9302994887816,0.9197005112184016;C; 17.56635493659627,15.459046608672907,2.107308327923363;T; 20.268250934893047,15.887562429408092,4.3806885054849545;
2011-07-12;S; 20.55,20.01601377449589,0.5339862255041119;C; 23.077968751930825,22.399930666036937,0.6780380858938884;T; 24.97454776003798,22.576631893337037,2.3979158667009415;
2011-07-18;S; 20.4,19.432680441162574,0.9673195588374242;C; 18.871996326916758,19.20884430664273,-0.3368479797259738;T; 21.882224628694246,19.382441529634832,2.499783099059414;
2011-07-21;S; 24.85,23.45887091735301,1.3911290826469909;C; 15.039752040666883,14.587575287066727,0.4521767536001562;T; 19.174908516059816,14.991009898290827,4.183898617768989;
2011-07-22;S; 24.75,23.53268044116254,1.2173195588374597;C; 18.786749408052117,19.925378869076383,-1.1386294610242658;T; 22.076857959038364,20.298924241327654,1.7779337177107095;
2011-07-23;S; 21.1,20.330299488781577,0.7697005112184243;C; 23.956825069122885,26.35042032520812,-2.3935952560852343;T; 28.253625375534966,26.648846077952555,1.604779297582411;
2012-06-20;S; 22.8,20.299347107829192,2.500652892170809;C; 17.41195875880686,18.118042912972385,-0.7060841541655236;T; 18.522931042605762,18.186689880135248,0.3362411624705146;
2012-06-21;S; 23.85,22.849347107829203,1.0006528921707982;C; 21.948456153683594,23.01707293041983,-1.068616776736235;T; 23.474721644917224,23.234773693301747,0.239947951615477;
