date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2003-06-26;S; 29.409999999999997,29.75601377449589,-0.3460137744958942;C; 33.31701185982395,33.35420419249779,-0.0371923326738397;T; 34.139557850150574,33.419751102272265,0.7198067478783088;
2003-07-07;S; 27.820000000000004,27.83029948878161,-0.010299488781605248;C; 32.50729307266267,32.15368457994198,0.3536084927206886;T; 33.19691052239618,32.16233520715217,1.0345753152440125;
2003-07-08;S; 26.560000000000002,26.936013774495894,-0.3760137744958918;C; 32.40569704151784,32.61963595674548,-0.21393891522764363;T; 33.32953342616821,32.69213755240739,0.6373958737608234;
2003-08-14;S; 29.270000000000003,28.618870917353014,0.6511290826469889;C; 30.245952579848282,33.16377674801769,-2.917824168169407;T; 34.05808030217569,33.44389613681189,0.6141841653638025;
2003-08-15;S; 27.740000000000002,27.390299488781594,0.3497005112184084;C; 30.602512918722404,33.17349134799996,-2.5709784292775595;T; 34.13189502959443,33.43119226313359,0.700702766460843;
2003-08-20;S; 29.400000000000002,28.801728060210156,0.5982719397898464;C; 32.86802773049565,33.14039550561953,-0.27236777512388244;T; 34.067171211111706,33.29154769984956,0.7756235112621468;
2003-08-21;S; 27.849999999999998,27.07315663163873,0.7768433683612663;C; 33.69950449186386,33.96854696482482,-0.2690424729609546;T; 34.849978967413215,34.12789838457178,0.7220805828414356;
2004-07-22;S; 27.479999999999997,26.690299488781605,0.7897005112183919;C; 30.842890500498505,32.9430636352963,-2.1001731347977923;T; 34.02017785485752,33.08147161153952,0.938706243318002;
2005-06-25;S; 31.26,31.50172806021019,-0.241728060210189;C; 33.55505402006389,35.260448566527806,-1.7053945464639142;T; 35.59162279919955,35.45712698782738,0.13449581137216882;
2005-06-26;S; 31.34,31.558870917353048,-0.21887091735304764;C; 33.885069906174266,36.014110630759596,-2.1290407245853302;T; 36.025590757541636,36.208379246374825,-0.18278848883318943;
2005-06-27;S; 31.63,31.716013774495902,-0.0860137744959033;C; 32.22683471418619,34.73560354666513,-2.5087688324789426;T; 35.06478287950985,34.947581036247996,0.1172018432618529;
2005-06-28;S; 30.020000000000003,30.03791853640066,-0.017918536400657104;C; 31.878036328452733,33.5761195888266,-1.698083260373867;T; 34.60112909947659,33.743195601206466,0.8579334982701212;
2005-07-11;S; 30.730000000000004,30.529347107829235,0.2006528921707691;C; 33.33984658382521,32.939846140727106,0.4000004430981008;T; 34.11972371647834,33.04124756208775,1.078476154390593;
2005-07-17;S; 29.580000000000002,29.44268044116253,0.13731955883747204;C; 33.70624946070508,33.47695792147119,0.22929153923389123;T; 34.14148411283205,33.49439196060755,0.6470921522245021;
2005-07-18;S; 30.02,29.619347107829196,0.4006528921708039;C; 33.46484729599357,33.629283891946585,-0.1644365959530134;T; 34.0005503068771,33.66269586958321,0.33785443729389186;
2005-07-19;S; 29.03,28.572680441162536,0.4573195588374652;C; 32.98756341600396,33.08940885670849,-0.10184544070452972;T; 33.45820743300441,33.11858448813449,0.33962294486992306;
2005-07-20;S; 28.1,27.82268044116255,0.2773195588374513;C; 33.74081358314908,33.39176259574516,0.3490509874039134;T; 34.13756817530407,33.3995771995029,0.7379909758011678;
2005-07-21;S; 27.900000000000002,27.634109012591125,0.26589098740887707;C; 34.33731012224926,33.76453881754897,0.5727713047002894;T; 34.86225035489345,33.76467661743848,1.0975737374549652;
2005-07-22;S; 25.91,26.007442345924453,-0.09744234592445267;C; 32.34639913007487,31.900204105517403,0.4461950245574684;T; 33.102638053019554,31.929631165986837,1.1730068870327166;
2005-08-09;S; 30.020000000000003,29.901728060210168,0.1182719397898353;C; 35.399590833511006,35.40336920646893,-0.003778372957924603;T; 35.945049010105265,35.377509637482504,0.5675393726227611;
2005-08-10;S; 28.8,28.701728060210176,0.09827193978982507;C; 35.58745823256244,35.60924339116769,-0.021785158605247545;T; 36.12513100382747,35.60657099851883,0.5185600053086361;
2005-08-11;S; 27.65,27.350299488781626,0.29970051121837216;C; 34.39942845410523,34.182260955532136,0.21716749857309026;T; 34.89833687327664,34.173098890086685,0.725237983189956;
2005-08-12;S; 26.69,26.296013774495908,0.39398622550409357;C; 32.51255695709453,32.247644523998645,0.26491243309588697;T; 33.28214160358069,32.233638717726585,1.0485028858541057;
2006-05-31;S; 26.110000000000007,25.638870917353042,0.4711290826469643;C; 32.74608430813407,32.32964334377097,0.4164409643631046;T; 33.39290346120137,32.40152521458564,0.9913782466157315;
2006-06-18;S; 28.91,29.061728060210182,-0.15172806021018204;C; 32.47629388168226,34.28353079899724,-1.807236917314981;T; 35.00934541716838,34.42795358242811,0.5813918347402733;
2006-06-19;S; 25.6,25.80458520306731,-0.20458520306731032;C; 31.840269960994636,33.315755765729065,-1.4754858047344293;T; 34.289383151366955,33.4498500891673,0.8395330621996564;
2006-07-10;S; 27.39,27.533156631638768,-0.14315663163876735;C; 32.3273325646317,32.15927458942132,0.16805797521038102;T; 33.02997640255849,32.22958183676441,0.800394565794079;
2006-07-13;S; 29.92,29.84315663163874,0.07684336836125993;C; 33.062919230913494,33.03160669939404,0.03131253151945401;T; 34.053540247949094,33.095903099419765,0.9576371485293294;
2006-07-14;S; 29.61,30.021728060210172,-0.41172806021017294;C; 34.701185468897435,34.727619077786166,-0.026433608888730475;T; 35.83506958123141,34.85359413425439,0.9814754469770222;
2006-07-15;S; 29.59,30.481728060210173,-0.8917280602101734;C; 35.98104236561691,35.99276379787426,-0.011721432257353115;T; 36.97320860638317,36.11978999925212,0.8534186071310472;
2006-07-16;S; 30.56,31.027442345924477,-0.46744234592447853;C; 36.285178985944086,36.19645782796906,0.08872115797502289;T; 37.05396747208779,36.275931285337876,0.7780361867499153;
2006-07-17;S; 29.43,29.653156631638765,-0.22315663163876565;C; 36.20290849471291,36.12740721197195,0.07550128274095869;T; 37.12545989362205,36.1915471184598,0.9339127751622485;
2006-07-18;S; 28.25,28.418870917353036,-0.16887091735303628;C; 34.33797033539619,33.77895615801236,0.5590141773838297;T; 35.37842006187973,33.83436063234789,1.544059429531842;
2006-07-28;S; 27.35,26.921728060210175,0.4282719397898269;C; 32.408838607281005,32.77519581646628,-0.36635720918527426;T; 33.370528941522394,32.91184247338808,0.45868646813431724;
2006-07-29;S; 27.11,26.75172806021018,0.3582719397898195;C; 32.592988285776336,33.00271236495873,-0.4097240791823964;T; 33.97777629469931,33.1749538059238,0.8028224887755115;
2006-08-01;S; 30.890000000000004,30.996013774495907,-0.10601377449590288;C; 33.65225649770382,34.070602291786095,-0.4183457940822777;T; 34.26321243440031,34.16085393939253,0.1023584950077776;
2006-08-02;S; 28.730000000000004,28.67982329830543,0.05017670169457489;C; 34.276269819830055,34.76134060654052,-0.485070786710466;T; 35.35601734039775,34.854451691595195,0.5015656488025542;
2007-06-27;S; 27.62,27.23029948878161,0.3897005112183898;C; 34.112608296267595,34.65987915047417,-0.5472708542065732;T; 34.86207036933528,34.72672937038335,0.13534099895192497;
2007-07-25;S; 29.490000000000002,29.704585203067325,-0.21458520306732254;C; 32.023568811256,32.3783445407568,-0.35477572950080116;T; 33.03904198933996,32.45734499023782,0.5816969991021352;
2007-07-26;S; 29.430000000000003,29.54410901259113,-0.11410901259112549;C; 35.87933639815522,36.32578946875904,-0.4464530706038232;T; 36.63421596104412,36.38071856843508,0.2534973926090416;
2007-07-27;S; 28.130000000000006,28.03268044116255,0.09731955883745513;C; 36.45122831422916,36.239625030350375,0.21160328387878735;T; 37.11768874162391,36.297899162541285,0.8197895790826237;
2007-07-28;S; 27.120000000000005,26.77934710782921,0.34065289217079453;C; 33.93724090074492,33.29036082698165,0.6468800737632705;T; 34.607426749069205,33.352357020362504,1.255069728706701;
2007-08-02;S; 30.759999999999998,30.447442345924472,0.31255765407552616;C; 33.497526819976216,33.40133860989793,0.0961882100782887;T; 33.69838371520084,33.368623076956865,0.3297606382439753;
2007-08-03;S; 27.68,27.387442345924466,0.2925576540755337;C; 32.25890889071697,32.51744747754995,-0.2585385868329837;T; 33.31256594272725,32.56126864090862,0.7512973018186244;
2008-07-08;S; 27.830000000000002,27.678870917353038,0.151129082646964;C; 33.236597552954116,33.901837525439326,-0.6652399724852103;T; 34.28795122788049,33.97755146503821,0.3103997628422803;
2008-07-09;S; 24.000000000000004,24.096013774495898,-0.09601377449589421;C; 32.786685704880924,33.35331318910535,-0.5666274842244263;T; 33.71709398080785,33.428784750270665,0.2883092305371875;
2008-07-13;S; 24.700000000000003,24.47601377449588,0.22398622550412384;C; 33.75757872447298,33.71567996781145,0.04189875666153142;T; 34.308295424148525,33.78785078025501,0.5204446438935122;
2008-07-17;S; 25.33,26.184585203067297,-0.8545852030672982;C; 33.593442718288046,33.35286542616616,0.24057729212188406;T; 34.01452935281514,33.34675705344713,0.6677722993680106;
2008-07-18;S; 24.14,25.147442345924446,-1.0074423459244457;C; 33.905617291079956,33.80679918652238,0.0988181045575729;T; 34.35359018353823,33.80502121597131,0.5485689675669221;
2008-07-19;S; 25.17,25.410299488781604,-0.24029948878160212;C; 33.34390726697249,33.466446348773744,-0.12253908180125705;T; 33.94898654325056,33.52586893361946,0.4231176096310989;
2008-07-30;S; 26.100000000000005,26.361728060210183,-0.2617280602101779;C; 29.478122940299198,32.88558157593401,-3.407458635634814;T; 33.419113925717895,33.07031995783473,0.34879396788316797;
2008-07-31;S; 26.78,26.587442345924458,0.19255765407554293;C; 28.95919865671989,32.274849300902396,-3.3156506441825044;T; 33.12343823144351,32.4258500314069,0.6975882000366056;
2008-08-01;S; 25.650000000000006,25.31315663163874,0.33684336836126505;C; 29.368450617083287,32.00675832096732,-2.638307703884035;T; 33.4587620297978,32.242883193432604,1.2158788363651993;
2008-08-02;S; 24.36,24.107442345924472,0.25255765407552744;C; 29.606319085475697,32.15952825565536,-2.553209170179663;T; 33.59066843092902,32.533388434936285,1.0572799959927366;
2008-08-03;S; 23.64,23.807442345924485,-0.16744234592448493;C; 29.744019874978996,32.079090499278074,-2.335070624299078;T; 33.390116829423654,32.437453730948555,0.9526630984750994;
2008-08-04;S; 23.959999999999997,24.124585203067333,-0.16458520306733604;C; 30.402611515481603,32.622012963884366,-2.2194014484027633;T; 33.821088982303166,32.91770604444188,0.9033829378612879;
2008-08-05;S; 23.090000000000003,23.278870917353032,-0.18887091735302874;C; 31.50379264440413,33.9133303789009,-2.409537734496773;T; 34.83666458677873,34.12514688616742,0.71151770061131;
2008-08-06;S; 21.820000000000004,22.333156631638726,-0.5131566316387222;C; 30.789834696315168,33.12369431698369,-2.3338596206685196;T; 34.10654598655325,33.33641489700604,0.7701310895472133;
2009-06-28;S; 24.450000000000003,24.373156631638736,0.07684336836126704;C; 32.43804916989761,33.25521395615589,-0.8171647862582816;T; 34.39321256596221,33.46451017695396,0.9287023890082509;
2009-06-29;S; 24.570000000000004,24.196013774495864,0.3739862255041402;C; 32.350870878621585,32.38491534918907,-0.03404447056748694;T; 33.72532285158286,32.51909540751154,1.2062274440713168;
2009-08-15;S; 30.680000000000003,30.510299488781595,0.16970051121840868;C; 33.33014980710949,33.50173488691834,-0.17158507980884963;T; 34.23985997508575,33.56574613689553,0.6741138381902232;
2009-08-16;S; 31.22,30.790299488781603,0.42970051121839603;C; 34.41790218743801,34.50791163359311,-0.09000944615510065;T; 35.151933765151696,34.560192799587846,0.5917409655638508;
2009-08-17;S; 30.330000000000002,29.927442345924455,0.40255765407554733;C; 34.746409940049126,34.804965022609366,-0.05855508256023967;T; 35.40400461002398,34.84958493162772,0.5544196783962647;
2009-08-18;S; 27.5,27.510299488781598,-0.010299488781598143;C; 33.43430573652857,33.51893132884466,-0.0846255923160868;T; 34.198953435258865,33.559865205819555,0.6390882294393094;
2010-05-26;S; 29.140000000000004,29.207442345924473,-0.0674423459244693;C; 34.00224700332529,33.34633888289646,0.6559081204288262;T; 34.69083946770534,33.354258575238376,1.3365808924669622;
2010-07-04;S; 31.680000000000003,31.667442345924464,0.01255765407553966;C; 34.72864297589755,35.029416307787244,-0.3007733318896939;T; 35.37887607054923,35.06589102338371,0.3129850471655189;
2010-07-05;S; 33.230000000000004,33.25029948878159,-0.020299488781589048;C; 37.50061398893141,37.357280402299125,0.1433335866322878;T; 38.03811056662007,37.367506981350374,0.6706035852696957;
2010-07-06;S; 33.650000000000006,33.81315663163873,-0.16315663163872784;C; 39.044188761948355,38.67841861580977,0.36577014613858694;T; 39.49321218730459,38.66242763372609,0.8307845535785034;
2010-07-07;S; 33.080000000000005,33.51029948878161,-0.43029948878160695;C; 39.40098593005277,39.032763109158054,0.36822282089471514;T; 39.75010864624127,39.01027312864306,0.7398355175982161;
2010-07-08;S; 31.330000000000005,31.681728060210187,-0.3517280602101813;C; 38.222217092288346,37.7986901568173,0.42352693547104536;T; 38.617499426421766,37.793073212322064,0.8244262140997023;
2010-07-09;S; 29.380000000000003,29.610299488781607,-0.2302994887816041;C; 35.296417465502316,35.04023725976507,0.25618020573724465;T; 35.84091781823014,35.01921872353284,0.8216990946973013;
2010-08-04;S; 27.299999999999997,27.493156631638772,-0.19315663163877517;C; 33.731205340995544,33.89180158929609,-0.16059624830054275;T; 34.33848379392063,33.94612073605786,0.3923630578627737;
2010-09-01;S; 30.750000000000004,31.524585203067318,-0.7745852030673142;C; 33.776605192835405,34.0460732794542,-0.26946808661879373;T; 34.374304550964645,34.05934276573923,0.31496178522541385;
2010-09-02;S; 29.009999999999998,29.718870917353037,-0.708870917353039;C; 33.422672774832876,33.9313223136203,-0.5086495387874237;T; 33.944643412760946,33.978375646802164,-0.03373223404121717;
2010-09-03;S; 25.76,25.978870917353042,-0.21887091735304054;C; 32.33079455498362,33.19314042863246,-0.8623458736488416;T; 33.05392644610854,33.296307708348934,-0.24238126224039291;
2011-07-03;S; 30.050000000000004,29.82458520306732,0.22541479693268585;C; 36.39615401436048,36.484960703363775,-0.0888066890032988;T; 37.16448703966415,36.58304034669696,0.5814466929671909;
2011-07-04;S; 28.940000000000005,28.896013774495884,0.04398622550412057;C; 35.81041468253495,35.327714938825274,0.4826997437096736;T; 36.32729970633936,35.38211156002269,0.9451881463166671;
2011-07-05;S; 26.970000000000002,27.01315663163873,-0.04315663163872685;C; 34.05290716459452,33.416822765559495,0.6360843990350276;T; 34.46652507551048,33.45817931625211,1.0083457592583756;
2011-07-11;S; 28.79,28.981728060210198,-0.19172806021019895;C; 34.41463047454336,34.243822000953365,0.17080847358999307;T; 34.93314988281833,34.27056338122891,0.6625865015894163;
2011-07-12;S; 26.790000000000003,27.05791853640067,-0.26791853640066776;C; 33.57446827064638,33.253993669166974,0.320474601479404;T; 34.156202997282804,33.28531161333024,0.8708913839525678;
2011-07-18;S; 28.710000000000004,28.71363282211494,-0.0036328221149339868;C; 33.041083131597645,33.133607530808916,-0.0925243992112712;T; 34.14022481435711,33.18454663662361,0.9556781777335033;
2011-07-21;S; 33.160000000000004,32.49887091735303,0.6611290826469727;C; 29.22817406471132,33.23127481368273,-4.003100748971409;T; 33.84238644182032,33.51801055651475,0.3243758853055638;
2011-07-22;S; 30.770000000000003,30.70172806021018,0.06827193978982393;C; 31.432318327843028,35.278851469526685,-3.8465331416836577;T; 35.86065939729309,35.530554691950805,0.3301047053422863;
2011-07-23;S; 28.650000000000002,28.627442345924475,0.02255765407552701;C; 31.08442360631304,33.08327920495807,-1.9988555986450258;T; 34.60812577262178,33.355398300570165,1.2527274720516175;
